timestamp;status_code;length;output_file
2022-08-04 18:22:10;200;334340;D:\my github\SocialData2022
2022-08-04 18:22:11;200;331332;D:\my github\SocialData2022
2022-08-04 18:22:12;200;332105;D:\my github\SocialData2022
2022-08-04 18:22:15;200;329575;D:\my github\SocialData2022
2022-08-04 18:22:16;200;332191;D:\my github\SocialData2022
2022-08-04 18:22:49;200;334340;D:\my github\SocialData2022
2022-08-04 18:22:51;200;331332;D:\my github\SocialData2022
2022-08-04 18:22:52;200;332105;D:\my github\SocialData2022
2022-08-04 18:22:54;200;329675;D:\my github\SocialData2022
2022-08-04 18:22:55;200;332191;D:\my github\SocialData2022
2022-08-04 18:23:02;200;334340;D:\my github\SocialData2022
2022-08-04 18:23:04;200;331232;D:\my github\SocialData2022
2022-08-04 18:23:05;200;332105;D:\my github\SocialData2022
2022-08-04 18:23:06;200;329675;D:\my github\SocialData2022
2022-08-04 18:23:07;200;332191;D:\my github\SocialData2022
2022-08-04 18:23:15;200;334340;D:\my github\SocialData2022
2022-08-04 18:23:17;200;331332;D:\my github\SocialData2022
2022-08-04 18:23:19;200;332105;D:\my github\SocialData2022
2022-08-04 18:23:20;200;329675;D:\my github\SocialData2022
2022-08-04 18:23:21;200;332191;D:\my github\SocialData2022
2022-08-04 18:23:28;200;334340;D:\my github\SocialData2022
2022-08-04 18:23:29;200;331332;D:\my github\SocialData2022
2022-08-04 18:23:31;200;332105;D:\my github\SocialData2022
2022-08-04 18:23:32;200;329675;D:\my github\SocialData2022
2022-08-04 18:23:33;200;332191;D:\my github\SocialData2022
2022-08-04 18:23:40;200;334340;D:\my github\SocialData2022
2022-08-04 18:23:42;200;331332;D:\my github\SocialData2022
2022-08-04 18:23:43;200;332105;D:\my github\SocialData2022
2022-08-04 18:23:44;200;329575;D:\my github\SocialData2022
2022-08-04 18:23:45;200;332191;D:\my github\SocialData2022
