timestamp;status_code;length;output_file
2022-08-04 19:50:19;200;116617;D:\my github\SocialData2022
2022-08-04 19:50:22;200;116790;D:\my github\SocialData2022
2022-08-04 19:50:23;200;116721;D:\my github\SocialData2022
2022-08-04 19:50:24;200;116800;D:\my github\SocialData2022
2022-08-04 19:50:25;200;117019;D:\my github\SocialData2022
2022-08-04 19:50:49;200;116617;D:\my github\SocialData2022
2022-08-04 19:50:50;200;116790;D:\my github\SocialData2022
2022-08-04 19:50:51;200;116721;D:\my github\SocialData2022
2022-08-04 19:50:53;200;116800;D:\my github\SocialData2022
2022-08-04 19:50:54;200;117019;D:\my github\SocialData2022
